id,text,created_at,lang
1968372735048040914,"@NeilPHauer They draw lessons from Ukraine. They must strengthen defense to achieve peace, otherwise Russia and Iran will drag them back into conflict like the past 30 years.",2025-09-17 17:53:25+00:00,en
1968372684087267774,"@SylvettePK @InevitableChina @Rightanglenews she is a poster child for black on white crime and just white, doesnt matter she was refugee from the Ukraine anymore even. As it shined a glaring light on how these people are just as incompatible as islam is to western civilization and peace.",2025-09-17 17:53:13+00:00,en
1968372658988531826,"@Maks_NAFO_FELLA While there are still Nazi-Ruzzian sympathizers in Western politics, who believed that they can negotiate with Putin!
https://t.co/i52PzatIaU",2025-09-17 17:53:07+00:00,en
1968372451777331480,"@WustyleZen @Alex_Oloyede2 Ukraine lived in peace until the Russian regime started this conflict in 2014, it's the only reason there's a war.",2025-09-17 17:52:17+00:00,en
1968385122648080511,@ZelenskyyUa @ZelenskaUA @AndriyYermak @DefenceU @CinC_AFU @TDF_UA @DI_Ukraine @ChiefDI_Ukraine @ServiceSsu @azov_media @196_MINATURE @kimyoungmiunnie @Iyo_SkyWWE @WWEAsuka @namgrah @nammonjoside @BABYMETAL_JAPAN @JpNakamoto @KAIRI_official @sacrifichor @0929_hazuki @n_poi07 @SOF_UKR @yoonisakkk @saya_h_a_t_e @daughterscorn @CutlassPrincess @StarLight_Kid11 @DefenceHQ @MinaShirakawa @giulia0221g @vonderleyen @Svyrydenko_Y @kajakallas @NATO @suzuki_1231su @UA_NAVY @ng_ukraine @KpsZSU @SESU_UA @armyinformcomua @jihoo_oo @jiho_hamkke @SEMIPLAYER380 @chocoyihyun @sooeunsu @jhiupark @KOMAKISDESHI @COBRAMOTHER @ofthevoyevoda Russia attack Romania before go ask them,2025-09-17 18:42:38+00:00,en
1968385115597545943,"@haleew2020 @Tim418385956391 @SunnyWa32126709 @DANewsUK @CTVNews @VassyKapelos @CBC @globalnews @RobertFife @liberal_party @CommrRCMPGRC @CTV_PowerPlay @yfblanchet @CPC_HQ @RosieBarton @CBCMorningLive @NDP @MarkJCarney @UN @aartipole @CDCgov @DavidMcGuinty @CPHO_Canada @PierrePoilievre @dimitrilascaris @EnglerYves @SecGenNATO @_FriedrichMerz @Panchenko_X @antonioguterres @David_Speers @abcnews @EvaVlaar @rafaelmgrossi Officer on deck! COL. Lawrence Wilkerson on the Middle East, Ukraine &amp; the NeoCon plan to attack China!
Cdnpoli polCan Auspol EUpol NZpol USpoli PnPCBC UKpolitics SKpoli CTVPP
https://t.co/y7jhtTBOmI",2025-09-17 18:42:37+00:00,en
1968385096567898428,First time we have sent observers since before the Ukraine War began. There is a little light at the end of the tunnel. Maybe the all-new Estonian moats along the border can be used for fish farming? Peace. https://t.co/ozNocgb87z,2025-09-17 18:42:32+00:00,en
1968385036899729512,"@miriwood @ToomikesCol @DogsareLoyal1s @Tweet4USA123 @MalatestaCarina @408magenta @veradubs @DJSiri @Harry71A @BrianJBerletic @UN @DanielDumbrill @OPCW @RandPaul @TruNews @jimmy_dore @natalimorris @ClaytonMorris @antonioguterres @wikileaks @Snowden @EUCouncil @geraldcelente @realDonaldTrump @KremlinRussia_E @AgelicaKim2014 @ChristineEliaz @USGOVIgnorance @TulsiGabbard @RachBlevins @LeeCamp @TheResident @marcorubio @CosmanEmilSSTJ @JDVance @Judgenap @LenaPetrovaOnX @Panchenko_X @iaeaorg @AXChristoforou @kthalps @LibertarianInst @SebastianSas_YT @abcnews @EvaVlaar @SecGenNATO @rafaelmgrossi @liberal_party Officer on deck! COL. Lawrence Wilkerson on the Middle East, Ukraine &amp; the NeoCon plan to attack China!
Cdnpoli polCan Auspol EUpol NZpol USpoli PnPCBC UKpolitics SKpoli CTVPP
https://t.co/y7jhtTBOmI",2025-09-17 18:42:18+00:00,en
1968384958080356823,"@hala13alassad @VatnikLobo91 @Partisangirl @UKSyriaRep @caitoz @VanessaBeeley @brit @LindseySnell @markcurtis30 @chenweihua @richimedhurst @wilde_katherine @jorymicah @dufrianord @KevorkAlmassian @Know_More_News @LucasGageX @_skobee_ @AHistoryRhyme @ChiefTrumpster @campbellclaret @RoryStewartUK @AnnelieseDodds @LauraPidcock @WifeElleSF @Dustiguminsky @Kanthan2030 @davincentjames @SpoxCHN_MaoNing @timand2037 @alessabocchi @DrLoupis__ @Jingjing_Li @alibinmasoad @iainoverton @NortonTaylor @pmillerinfo @_whitneywebb @KimIversenShow @wmhuo168 @RNicholasBurns @LenaPetrovaOnX @CarlZha @tamtima @NiMingDa_888 @vonderleyen @EvaVlaar @SecGenNATO @antonioguterres @UN Officer on deck! COL. Lawrence Wilkerson on the Middle East, Ukraine &amp; the NeoCon plan to attack China!
Cdnpoli polCan Auspol EUpol NZpol USpoli PnPCBC UKpolitics SKpoli CTVPP
https://t.co/y7jhtTBOmI",2025-09-17 18:41:59+00:00,en
1968384803302252869,@st_trooper @ZelenskyyUa How's this? An article from The Moscow Times: https://t.co/aFMR70WKO0,2025-09-17 18:41:22+00:00,en
